sample	gene	reporter	pop	flow	date	high	low
SC_-His_-Lys_High_AsnRRA-degron_17_S168_L001_sort_filtered_rmdup.vcf	YNL268W	AsnRRA_deg_TFT	5	high-low	2023.03.06	SC_-His_-Lys_High_AsnRRA-degron_17_S168_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_AsnRRA-degron_17_S160_L001_sort_filtered_rmdup
SC_-His_-Lys_High_AsnRRA-degron_18_S184_L001_sort_filtered_rmdup.vcf	YNL268W	AsnRRA_deg_TFT	5	high-low	2023.03.06	SC_-His_-Lys_High_AsnRRA-degron_18_S184_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_AsnRRA-degron_18_S176_L001_sort_filtered_rmdup
SC_-His_-Lys_High_PheRRA-degron_49_S136_L001_sort_filtered_rmdup.vcf	YNL268W	PheRRA_deg_TFT	5	high-low	2023.03.01	SC_-His_-Lys_High_PheRRA-degron_49_S136_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_PheRRA-degron_49_S128_L001_sort_filtered_rmdup
SC_-His_-Lys_High_PheRRA-degron_50_S152_L001_sort_filtered_rmdup.vcf	YNL268W	PheRRA_deg_TFT	5	high-low	2023.03.01	SC_-His_-Lys_High_PheRRA-degron_50_S152_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_PheRRA-degron_50_S144_L001_sort_filtered_rmdup
SC_-His_-Lys_High_ThrRRA-degron_79_S41_L001_sort_filtered_rmdup.vcf	YNL268W	ThrRRA_deg_TFT	5	high-low	2023.02.08	SC_-His_-Lys_High_ThrRRA-degron_79_S41_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_ThrRRA-degron_79_S33_L001_sort_filtered_rmdup
SC_-His_-Lys_High_ThrRRA-degron_80_S57_L001_sort_filtered_rmdup.vcf	YNL268W	ThrRRA_deg_TFT	5	high-low	2023.02.08	SC_-His_-Lys_High_ThrRRA-degron_80_S57_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_ThrRRA-degron_80_S49_L001_sort_filtered_rmdup
SC_-His_-Lys_High_rpn4RRA-degron_65_S9_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4RRA_deg	5	high-low	2023.02.02	SC_-His_-Lys_High_rpn4RRA-degron_65_S9_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_rpn4RRA-degron_65_S1_L001_sort_filtered_rmdup
SC_-His_-Lys_High_rpn4RRA-degron_66_S25_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4RRA_deg	5	high-low	2023.02.02	SC_-His_-Lys_High_rpn4RRA-degron_66_S25_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_rpn4RRA-degron_66_S17_L001_sort_filtered_rmdup
SC_-His_-Lys_High_AsnMAC-degron_17_S168_L001_sort_filtered_rmdup.vcf	YNL268W	AsnMAC_deg_TFT	5	high-low	2023.03.06	SC_-His_-Lys_High_AsnMAC-degron_17_S168_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_AsnMAC-degron_17_S160_L001_sort_filtered_rmdup
SC_-His_-Lys_High_AsnMAC-degron_18_S184_L001_sort_filtered_rmdup.vcf	YNL268W	AsnMAC_deg_TFT	5	high-low	2023.03.06	SC_-His_-Lys_High_AsnMAC-degron_18_S184_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_AsnMAC-degron_18_S176_L001_sort_filtered_rmdup
SC_-His_-Lys_High_PheMAC-degron_49_S136_L001_sort_filtered_rmdup.vcf	YNL268W	PheMAC_deg_TFT	5	high-low	2023.03.01	SC_-His_-Lys_High_PheMAC-degron_49_S136_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_PheMAC-degron_49_S128_L001_sort_filtered_rmdup
SC_-His_-Lys_High_PheMAC-degron_50_S152_L001_sort_filtered_rmdup.vcf	YNL268W	PheMAC_deg_TFT	5	high-low	2023.03.01	SC_-His_-Lys_High_PheMAC-degron_50_S152_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_PheMAC-degron_50_S144_L001_sort_filtered_rmdup
SC_-His_-Lys_High_ThrMAC-degron_79_S41_L001_sort_filtered_rmdup.vcf	YNL268W	ThrMAC_deg_TFT	5	high-low	2023.02.08	SC_-His_-Lys_High_ThrMAC-degron_79_S41_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_ThrMAC-degron_79_S33_L001_sort_filtered_rmdup
SC_-His_-Lys_High_ThrMAC-degron_80_S57_L001_sort_filtered_rmdup.vcf	YNL268W	ThrMAC_deg_TFT	5	high-low	2023.02.08	SC_-His_-Lys_High_ThrMAC-degron_80_S57_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_ThrMAC-degron_80_S49_L001_sort_filtered_rmdup
SC_-His_-Lys_High_rpn4MAC-degron_65_S9_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4MAC_deg	5	high-low	2023.02.02	SC_-His_-Lys_High_rpn4MAC-degron_65_S9_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_rpn4MAC-degron_65_S1_L001_sort_filtered_rmdup
SC_-His_-Lys_High_rpn4MAC-degron_66_S25_L001_sort_filtered_rmdup.vcf	YNL268W	rpn4MAC_deg	5	high-low	2023.02.02	SC_-His_-Lys_High_rpn4MAC-degron_66_S25_L001_sort_filtered_rmdup	SC_-His_-Lys_Low_rpn4MAC-degron_66_S17_L001_sort_filtered_rmdup
